;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
3148;3149;110.0;2.0;USA;30000000.0;15156200.0;15358;131.0;91.0;328;164.0;258.0;218.0;45.0;571;6.0;Fair
446;447;113.0;11.0;USA;82000000.0;158115031.0;130070;316.0;134.0;0;88.0;11000.0;437.0;421.0;13693;6.4;Good
3495;3496;106.0;1.0;USA;7000000.0;9190525.0;102125;324.0;341.0;10000;1000.0;816.0;105.0;98.0;1120;7.0;Good
4005;4006;106.0;0.0;Mexico;3500000.0;886410.0;1024;494.0;39.0;140;22.0;174.0;16.0;10.0;222;6.8;Good
2477;2478;98.0;2.0;USA;23000000.0;58006147.0;67653;108.0;97.0;0;209.0;158.0;152.0;129.0;816;6.2;Good
2821;2822;107.0;2.0;USA;13500000.0;15854988.0;36542;378.0;181.0;0;162.0;2000.0;258.0;135.0;2447;7.4;Good
4833;4834;88.0;0.0;USA;300000.0;;554;23.0;20.0;92;5.0;795.0;659.0;301.0;1884;5.2;Fair
270;271;120.0;0.0;USA;110000000.0;24004159.0;68720;191.0;188.0;0;153.0;1000.0;1000.0;447.0;3175;5.8;Fair
4782;4783;84.0;0.0;UK;450000.0;379122.0;10143;54.0;365.0;0;3.0;10000.0;651.0;446.0;12496;7.1;Good
4365;4366;90.0;1.0;USA;1500000.0;638476.0;13223;45.0;130.0;0;293.0;16000.0;14000.0;808.0;32405;6.6;Good
4739;4740;90.0;0.0;USA;500000.0;603943.0;26407;154.0;126.0;1000;9.0;710.0;634.0;595.0;2655;7.3;Good
1502;1503;114.0;1.0;France;35000000.0;6592103.0;28584;232.0;149.0;675;0.0;548.0;298.0;115.0;1005;6.3;Good
2222;2223;108.0;1.0;USA;20000000.0;34126138.0;666937;1514.0;273.0;52000;1000.0;14000.0;4000.0;1000.0;19364;8.3;Excellent
2795;2796;94.0;3.0;USA;;12550242.0;13866;55.0;97.0;488;0.0;12000.0;490.0;458.0;13446;5.5;Fair
4514;4515;94.0;3.0;USA;3000000.0;16101109.0;76467;236.0;91.0;0;6.0;16000.0;1000.0;804.0;19957;6.8;Good
2064;2065;93.0;5.0;Ireland;23000000.0;18934858.0;72646;397.0;394.0;0;0.0;17000.0;13000.0;947.0;31187;5.8;Fair
2390;2391;97.0;3.0;USA;18000000.0;150056505.0;216581;397.0;351.0;21000;89.0;920.0;798.0;329.0;2771;6.4;Good
1556;1557;98.0;1.0;USA;32000000.0;32701088.0;10018;108.0;75.0;0;61.0;649.0;579.0;83.0;1400;6.9;Good
3673;3674;111.0;0.0;USA;7000000.0;6200756.0;96129;488.0;122.0;5000;72.0;19000.0;12000.0;722.0;34106;7.4;Good
4123;4124;122.0;4.0;Germany;3000000.0;22000.0;30511;226.0;174.0;0;87.0;2000.0;683.0;605.0;4920;5.8;Fair
1070;1071;127.0;1.0;UK;25000000.0;14946229.0;2581;29.0;72.0;0;65.0;788.0;423.0;345.0;2104;7.3;Good
2852;2853;91.0;5.0;USA;13000000.0;27052167.0;24834;168.0;57.0;934;6.0;904.0;471.0;459.0;3353;6.1;Good
984;985;98.0;1.0;Germany;45000000.0;50740078.0;151580;672.0;191.0;0;38.0;14000.0;919.0;706.0;16791;6.2;Good
142;143;88.0;0.0;USA;150000000.0;21379315.0;17590;112.0;132.0;0;25.0;921.0;562.0;433.0;2652;5.4;Fair
1155;1156;84.0;0.0;UK;45000000.0;106793915.0;140499;358.0;187.0;0;91.0;579.0;530.0;206.0;1817;7.0;Good
3143;3144;129.0;1.0;USA;10000000.0;16153600.0;8295;30.0;23.0;720;0.0;18000.0;269.0;203.0;19065;6.5;Good
4047;4048;108.0;0.0;Canada;3200000.0;;9356;47.0;188.0;0;43.0;691.0;480.0;463.0;1962;5.7;Fair
2146;2147;127.0;1.0;France;20000000.0;24104113.0;149066;517.0;466.0;24000;140.0;19000.0;14000.0;10000.0;46241;7.1;Good
1520;1521;105.0;5.0;USA;35000000.0;13101142.0;23916;50.0;135.0;0;125.0;18000.0;2000.0;2000.0;23122;5.7;Fair
421;422;123.0;0.0;USA;;;19228;146.0;84.0;0;189.0;813.0;388.0;87.0;1476;7.8;Good
1112;1113;133.0;0.0;USA;45000000.0;24343673.0;91860;524.0;156.0;14000;278.0;5000.0;117.0;107.0;5405;7.4;Good
2787;2788;90.0;2.0;USA;14000000.0;15549702.0;24038;123.0;56.0;411;119.0;869.0;779.0;636.0;3007;4.6;Fair
468;469;135.0;1.0;USA;75000000.0;76081498.0;76099;162.0;80.0;0;503.0;8000.0;137.0;67.0;8355;6.7;Good
2246;2247;121.0;2.0;USA;20000000.0;;33597;185.0;52.0;0;503.0;2000.0;92.0;83.0;2251;7.0;Good
4834;4835;110.0;1.0;France;300000.0;;19386;74.0;96.0;2000;0.0;710.0;257.0;0.0;967;7.7;Good
3617;3618;90.0;0.0;USA;6000000.0;4859475.0;116910;520.0;152.0;0;0.0;4000.0;899.0;826.0;7103;7.2;Good
867;868;122.0;2.0;UK;55000000.0;41609593.0;145422;572.0;149.0;0;287.0;22000.0;2000.0;135.0;24270;7.3;Good
264;265;127.0;1.0;USA;110000000.0;85463309.0;254841;426.0;327.0;36000;189.0;20000.0;929.0;544.0;22254;7.1;Good
3813;3814;130.0;0.0;USA;5000000.0;;15988;153.0;64.0;2000;0.0;1000.0;849.0;826.0;5191;6.8;Good
5002;5003;79.0;0.0;USA;;24705.0;1516;10.0;61.0;377;2.0;962.0;72.0;20.0;1054;6.3;Good
525;526;104.0;0.0;USA;75000000.0;157299717.0;452928;1401.0;290.0;0;0.0;20000.0;764.0;505.0;21397;7.4;Good
2893;2894;102.0;0.0;France;13000000.0;2035566.0;77305;162.0;242.0;11000;43.0;170.0;157.0;113.0;931;6.6;Good
4336;4337;99.0;0.0;USA;2000000.0;;6804;72.0;25.0;805;44.0;907.0;164.0;137.0;1807;7.0;Good
2277;2278;102.0;1.0;USA;22000000.0;12469811.0;69172;316.0;156.0;0;563.0;12000.0;442.0;385.0;13156;6.6;Good
1023;1024;127.0;0.0;France;50000000.0;10137232.0;58015;374.0;186.0;0;12000.0;984.0;940.0;897.0;5702;6.0;Fair
2910;2911;105.0;1.0;USA;10500000.0;26589953.0;165792;392.0;391.0;44000;20.0;22000.0;982.0;844.0;26233;6.7;Good
3567;3568;100.0;2.0;USA;6500000.0;2024854.0;564;21.0;4.0;19;0.0;1000.0;373.0;266.0;1942;6.6;Good
1867;1868;133.0;3.0;USA;25000000.0;172825435.0;383784;331.0;100.0;12000;272.0;10000.0;898.0;628.0;12285;8.0;Good
4586;4587;97.0;0.0;UK;1000000.0;144431.0;1290;13.0;40.0;587;10.0;102.0;7.0;5.0;118;7.3;Good
3106;3107;153.0;1.0;UK;10000000.0;16800000.0;25303;138.0;56.0;0;82.0;695.0;275.0;139.0;1593;7.5;Good
1928;1929;144.0;6.0;France;25500000.0;41229.0;14612;41.0;91.0;0;0.0;15000.0;960.0;745.0;18442;6.5;Good
3437;3438;92.0;0.0;USA;6500000.0;24792061.0;191998;323.0;239.0;0;655.0;24000.0;829.0;88.0;25092;7.6;Good
2097;2098;105.0;10.0;USA;26000000.0;30659817.0;59805;95.0;168.0;0;31.0;390.0;311.0;110.0;1006;6.4;Good
1253;1254;109.0;0.0;USA;40000000.0;37371385.0;192462;334.0;342.0;42000;99.0;176.0;61.0;57.0;390;7.0;Good
3981;3982;25.0;5.0;USA;;;36265;147.0;55.0;0;;443.0;421.0;395.0;2195;8.4;Excellent
1132;1133;52.0;9.0;France;;;15762;47.0;23.0;17000;;164.0;116.0;114.0;654;8.3;Excellent
715;716;119.0;1.0;USA;60000000.0;121468960.0;407601;849.0;249.0;0;218.0;13000.0;147.0;73.0;13249;7.9;Good
558;559;84.0;0.0;USA;;90820.0;35510;119.0;130.0;0;10.0;3000.0;552.0;394.0;4368;6.0;Fair
3351;3352;171.0;0.0;USA;7623000.0;;9808;90.0;54.0;1000;54.0;440.0;426.0;346.0;1373;7.2;Good
1630;1631;107.0;1.0;USA;27800000.0;55210049.0;43743;293.0;98.0;0;0.0;12000.0;664.0;643.0;14710;5.4;Fair
4247;4248;96.0;2.0;USA;2300000.0;792966.0;4663;40.0;49.0;321;6.0;40.0;30.0;14.0;99;5.1;Fair
2568;2569;113.0;0.0;USA;16000000.0;19057024.0;113963;361.0;158.0;24000;47.0;21000.0;541.0;238.0;22088;7.2;Good
4987;4988;93.0;0.0;USA;60000.0;;485;5.0;13.0;284;9.0;743.0;413.0;133.0;1527;3.4;Bad
2482;2483;93.0;4.0;USA;18000000.0;;13133;101.0;46.0;0;32.0;13000.0;1000.0;1000.0;16735;4.6;Fair
295;296;165.0;1.0;USA;100000000.0;162804648.0;955174;1193.0;765.0;199000;16000.0;29000.0;11000.0;265.0;40978;8.5;Excellent
47;48;132.0;0.0;USA;190000000.0;228756232.0;395573;1171.0;590.0;92000;14000.0;19000.0;981.0;928.0;21411;7.8;Good
505;506;105.0;0.0;Canada;80000000.0;23219748.0;84508;308.0;272.0;20000;545.0;795.0;172.0;74.0;1099;5.6;Fair
3164;3165;89.0;9.0;USA;10000000.0;8070311.0;12706;75.0;52.0;0;18.0;7000.0;2000.0;2000.0;13626;5.3;Fair
68;69;126.0;3.0;USA;140000000.0;318298180.0;696338;1055.0;486.0;10000;4000.0;21000.0;12000.0;4000.0;39252;7.9;Good
2209;2210;88.0;8.0;USA;20000000.0;32014289.0;50337;177.0;153.0;13000;92.0;31000.0;881.0;636.0;34319;3.5;Bad
2974;2975;107.0;1.0;USA;12000000.0;7918283.0;41574;145.0;288.0;0;27.0;664.0;591.0;360.0;2440;6.6;Good
2630;2631;94.0;1.0;USA;17000000.0;42672630.0;27580;172.0;66.0;0;13.0;925.0;738.0;566.0;3423;5.3;Fair
4863;4864;90.0;1.0;USA;250000.0;3388210.0;46813;150.0;206.0;12000;52.0;34000.0;487.0;224.0;34983;6.7;Good
1576;1577;126.0;2.0;UK;34000000.0;62700000.0;69534;294.0;121.0;0;43.0;244.0;202.0;177.0;1008;6.3;Good
176;177;60.0;2.0;USA;1500000.0;;16769;74.0;21.0;0;;982.0;321.0;184.0;1687;7.5;Good
887;888;119.0;1.0;USA;55000000.0;39440655.0;61680;222.0;197.0;19000;59.0;2000.0;828.0;676.0;4315;6.4;Good
3515;3516;112.0;0.0;UK;7000000.0;1738692.0;95529;301.0;389.0;38000;159.0;3000.0;294.0;77.0;3547;7.5;Good
1597;1598;111.0;2.0;USA;37000000.0;108244774.0;94049;301.0;108.0;0;0.0;11000.0;995.0;529.0;13645;6.2;Good
4709;4710;106.0;1.0;USA;600000.0;171988.0;448;16.0;15.0;12;16.0;602.0;266.0;254.0;1281;5.6;Fair
1247;1248;155.0;2.0;USA;36000000.0;44175394.0;56509;227.0;77.0;0;14000.0;12000.0;11000.0;11000.0;37570;7.2;Good
4829;4830;80.0;3.0;USA;300000.0;2360184.0;18035;177.0;131.0;0;54.0;1000.0;806.0;543.0;3010;7.1;Good
668;669;117.0;1.0;USA;65000000.0;63695760.0;61490;264.0;141.0;0;179.0;8000.0;4000.0;403.0;12850;6.4;Good
4294;4295;98.0;1.0;France;17000000.0;;11031;45.0;30.0;739;0.0;1000.0;572.0;164.0;1917;6.5;Good
3042;3043;86.0;1.0;USA;11000000.0;23978402.0;10966;100.0;62.0;365;5.0;584.0;580.0;532.0;3850;4.6;Fair
1339;1340;96.0;2.0;USA;38000000.0;88915214.0;163665;169.0;174.0;9000;126.0;18000.0;957.0;954.0;22436;6.5;Good
903;904;89.0;1.0;USA;53000000.0;45207112.0;21283;190.0;98.0;361;17.0;12000.0;708.0;303.0;13390;5.5;Fair
1883;1884;119.0;1.0;USA;25000000.0;76270454.0;219008;418.0;123.0;0;0.0;22000.0;371.0;188.0;22767;7.9;Good
3643;3644;85.0;1.0;USA;6000000.0;;38273;133.0;68.0;0;9.0;861.0;618.0;407.0;2200;7.2;Good
4378;4379;106.0;1.0;Mexico;;12589108.0;5526;58.0;75.0;0;36.0;953.0;399.0;345.0;2198;7.4;Good
2297;2298;108.0;3.0;USA;20000000.0;8054280.0;6838;117.0;76.0;924;54.0;786.0;567.0;463.0;2730;6.3;Good
3459;3460;97.0;1.0;UK;7300000.0;1818681.0;74435;224.0;224.0;0;12.0;788.0;698.0;641.0;2486;7.2;Good
3889;3890;152.0;0.0;USA;4000000.0;36000000.0;9456;107.0;44.0;625;309.0;232.0;178.0;132.0;825;6.7;Good
3365;3366;109.0;1.0;USA;8000000.0;27362712.0;5971;60.0;37.0;0;44.0;1000.0;886.0;458.0;3199;6.5;Good
2572;2573;100.0;0.0;Germany;16000000.0;15500000.0;51996;302.0;111.0;0;9.0;599.0;380.0;363.0;2389;7.0;Good
3066;3067;105.0;0.0;USA;;540085.0;10052;69.0;87.0;0;0.0;14000.0;12000.0;776.0;28004;6.3;Good
3743;3744;88.0;0.0;USA;5000000.0;17768000.0;29629;374.0;144.0;0;27.0;742.0;120.0;101.0;1136;5.9;Fair
45;46;123.0;0.0;USA;190000000.0;202351611.0;465019;995.0;654.0;129000;395.0;17000.0;11000.0;1000.0;32392;7.0;Good
3793;3794;95.0;1.0;USA;3209000.0;;989;23.0;9.0;44;5.0;197.0;116.0;100.0;538;6.2;Good
1322;1323;113.0;2.0;Hong Kong;40000000.0;128978.0;22897;61.0;106.0;0;31.0;5000.0;755.0;483.0;6267;7.1;Good
1086;1087;83.0;7.0;USA;45000000.0;71277420.0;119590;548.0;127.0;0;322.0;1000.0;422.0;179.0;1645;5.2;Fair
3227;3228;82.0;1.0;USA;10000000.0;131617.0;9971;119.0;79.0;661;216.0;1000.0;922.0;885.0;5761;6.3;Good
4825;4826;112.0;0.0;USA;;7707563.0;7687;32.0;26.0;0;2.0;786.0;633.0;321.0;2638;8.0;Good
3858;3859;112.0;0.0;South Korea;4200000000.0;211667.0;53508;131.0;202.0;4000;0.0;717.0;126.0;38.0;907;7.7;Good
1987;1988;88.0;1.0;USA;17000000.0;9286314.0;4972;62.0;27.0;0;22.0;174.0;132.0;120.0;583;5.9;Fair
4110;4111;123.0;0.0;UK;;373060.0;47385;112.0;248.0;0;121.0;13000.0;260.0;168.0;13636;7.3;Good
2232;2233;90.0;0.0;USA;20000000.0;25077977.0;10986;84.0;84.0;0;0.0;681.0;611.0;518.0;2486;5.3;Fair
1811;1812;110.0;3.0;Germany;27000000.0;22494487.0;262153;507.0;202.0;10000;118.0;13000.0;11000.0;1000.0;26451;7.8;Good
1701;1702;100.0;0.0;USA;45000000.0;9353573.0;56451;524.0;130.0;0;70.0;473.0;315.0;99.0;1100;2.7;Bad
564;565;98.0;1.0;USA;69000000.0;55585389.0;64121;241.0;117.0;880;0.0;12000.0;854.0;697.0;15269;5.9;Fair
3147;3148;100.0;0.0;USA;10000000.0;;7322;78.0;52.0;680;394.0;2000.0;926.0;695.0;6296;7.1;Good
287;288;153.0;0.0;USA;102000000.0;204843350.0;744891;983.0;210.0;13000;0.0;780.0;604.0;539.0;2829;8.5;Excellent
2973;2974;119.0;3.0;China;100000000.0;11041228.0;92295;420.0;248.0;0;611.0;755.0;483.0;4.0;1244;7.6;Good
1480;1481;93.0;1.0;Australia;30000000.0;;11482;82.0;145.0;0;0.0;465.0;351.0;174.0;1361;5.2;Fair
472;473;83.0;0.0;USA;80000000.0;73215310.0;44143;216.0;106.0;4000;21.0;13000.0;503.0;495.0;14261;7.0;Good
2204;2205;103.0;8.0;USA;19800000.0;34290142.0;54242;145.0;156.0;14000;189.0;2000.0;1000.0;949.0;4662;6.6;Good
769;770;113.0;3.0;USA;60000000.0;45996718.0;173530;264.0;415.0;40000;181.0;33000.0;301.0;300.0;34738;6.7;Good
3566;3567;105.0;1.0;UK;4000000.0;2338695.0;134070;263.0;149.0;0;905.0;27000.0;594.0;466.0;29277;7.4;Good
2111;2112;104.0;0.0;USA;23500000.0;10696210.0;35018;180.0;75.0;716;87.0;1000.0;826.0;691.0;3148;3.9;Bad
2611;2612;103.0;2.0;South Korea;;;2659;25.0;43.0;558;2.0;94.0;80.0;13.0;213;5.7;Fair
3316;3317;93.0;1.0;USA;19000000.0;;16198;57.0;44.0;0;8.0;22000.0;1000.0;558.0;24154;6.1;Good
350;351;118.0;0.0;UK;95000000.0;88761720.0;141179;419.0;217.0;9000;0.0;8000.0;3000.0;1000.0;14024;5.9;Fair
1029;1030;88.0;5.0;USA;50000000.0;6471394.0;15880;93.0;75.0;288;5.0;11000.0;387.0;338.0;11972;4.9;Fair
1691;1692;104.0;0.0;Canada;26000000.0;16999046.0;79517;354.0;368.0;12000;165.0;900.0;686.0;559.0;2222;5.8;Fair
1542;1543;101.0;1.0;USA;32000000.0;60328558.0;61396;159.0;88.0;11000;503.0;13000.0;1000.0;1000.0;18734;7.0;Good
7;8;141.0;4.0;USA;250000000.0;458991599.0;462669;1117.0;635.0;118000;0.0;26000.0;21000.0;19000.0;92000;7.5;Good
4220;4221;108.0;3.0;USA;2295429.0;;3538;46.0;14.0;438;24.0;960.0;715.0;244.0;2329;7.0;Good
1246;1247;98.0;1.0;USA;40000000.0;59588068.0;89557;376.0;207.0;0;326.0;21000.0;534.0;416.0;22318;5.8;Fair
1727;1728;118.0;1.0;Germany;30000000.0;;10175;23.0;46.0;0;55.0;113.0;11.0;11.0;143;7.1;Good
4125;4126;83.0;1.0;USA;3000000.0;;7358;39.0;58.0;0;8.0;798.0;634.0;617.0;4756;5.3;Fair
5021;5022;60.0;0.0;Kenya;15000.0;;70;1.0;6.0;45;0.0;147.0;19.0;4.0;170;7.4;Good
2473;2474;114.0;2.0;Spain;14000000.0;;48162;140.0;195.0;10000;89.0;22000.0;2000.0;920.0;25804;6.2;Good
237;238;92.0;0.0;USA;115000000.0;289907418.0;585659;593.0;250.0;0;0.0;12000.0;1000.0;773.0;15013;8.1;Excellent
3814;3815;;15.0;USA;5000000.0;;38;2.0;2.0;35;3.0;975.0;900.0;723.0;4991;6.7;Good
1333;1334;119.0;0.0;USA;40000000.0;25335935.0;242599;1594.0;276.0;14000;0.0;2000.0;505.0;279.0;2853;8.0;Good
560;561;113.0;4.0;USA;45000000.0;21009180.0;45815;222.0;114.0;1000;212.0;2000.0;845.0;568.0;4397;6.1;Good
4971;4972;80.0;3.0;USA;70000.0;;496;13.0;16.0;110;3.0;103.0;0.0;0.0;103;8.3;Excellent
1812;1813;193.0;0.0;USA;27000000.0;21500000.0;45271;170.0;80.0;0;133.0;2000.0;826.0;820.0;6341;7.9;Good
276;277;97.0;0.0;USA;105000000.0;104374107.0;89351;214.0;228.0;5000;63.0;852.0;578.0;525.0;2480;7.1;Good
297;298;78.0;1.0;USA;100000000.0;89296573.0;128285;297.0;141.0;0;10.0;558.0;452.0;253.0;2039;7.3;Good
2067;2068;94.0;2.0;USA;23000000.0;11508423.0;3174;19.0;47.0;376;258.0;721.0;463.0;424.0;2453;5.1;Fair
2256;2257;30.0;2.0;USA;;;114;6.0;;4;;909.0;417.0;215.0;1557;6.7;Good
2530;2531;102.0;1.0;USA;16500000.0;59847242.0;55895;115.0;31.0;0;6.0;3000.0;2000.0;165.0;5433;6.8;Good
265;266;105.0;3.0;USA;105000000.0;71017784.0;27257;59.0;125.0;0;67.0;681.0;71.0;40.0;914;5.4;Fair
3073;3074;118.0;2.0;Australia;15000000.0;399879.0;5772;115.0;75.0;302;10.0;172.0;71.0;48.0;378;6.4;Good
3253;3254;84.0;5.0;USA;10000000.0;;553;3.0;4.0;119;5.0;670.0;608.0;482.0;2739;5.2;Fair
4114;4115;44.0;0.0;USA;;;2948;28.0;7.0;3000;;786.0;341.0;246.0;1551;7.9;Good
4919;4920;94.0;1.0;USA;200000.0;;15;3.0;3.0;66;0.0;433.0;375.0;178.0;1112;8.1;Excellent
1425;1426;109.0;2.0;USA;35000000.0;55802754.0;270228;194.0;238.0;41000;87.0;15000.0;3000.0;923.0;20956;6.6;Good
767;768;115.0;2.0;USA;45000000.0;48472213.0;51252;156.0;111.0;621;11.0;1000.0;759.0;642.0;4305;5.0;Fair
4327;4328;92.0;1.0;USA;2300000.0;7927.0;19236;175.0;90.0;0;0.0;1000.0;29.0;18.0;1055;7.7;Good
3816;3817;88.0;7.0;USA;5000000.0;;849;4.0;35.0;0;0.0;40000.0;3000.0;1000.0;46115;4.8;Fair
2165;2166;105.0;0.0;USA;20000000.0;80050171.0;186984;491.0;253.0;0;154.0;884.0;617.0;501.0;2287;6.9;Good
4725;4726;79.0;1.0;USA;500000.0;30500882.0;42256;916.0;235.0;0;9.0;48.0;10.0;7.0;67;5.7;Fair
375;376;119.0;0.0;USA;95000000.0;73209340.0;101834;628.0;180.0;0;719.0;833.0;624.0;423.0;2356;5.7;Fair
