Page total likes;Type;Category;Post Month;Post Weekday;Post Hour;Paid;Lifetime Post Total Reach;Lifetime Post Total Impressions;Lifetime Engaged Users;Lifetime Post Consumers
138329;Photo;1;11;6;10;0;2425;4462;260;213
138329;Video;1;11;6;2;1;16416;31950;459;411
138329;Photo;1;11;5;11;0;5812;10465;343;204
138329;Photo;1;11;5;3;0;2545;4846;165;131
138329;Photo;1;11;4;10;0;2257;4372;230;173
138329;Photo;1;11;4;3;1;27072;84885;421;304
138185;Photo;1;11;3;11;1;10940;27951;417;335
138185;Photo;1;11;3;2;1;50912;164528;630;513
138185;Photo;1;11;2;10;1;28752;47358;802;654
138185;Photo;1;11;2;3;1;27216;81908;541;335
138185;Photo;1;11;1;10;0;2352;5234;232;182
138185;Photo;1;11;1;3;0;3416;6167;356;298
138185;Photo;1;11;7;11;0;2149;4120;197;156
138185;Photo;1;11;7;3;1;53456;93790;1576;995
138185;Photo;1;11;6;11;0;2168;3891;211;168
137893;Photo;1;11;6;3;0;3102;5939;360;288
137893;Photo;1;11;5;10;1;39344;103050;588;460
137893;Video;1;11;5;3;1;100768;220447;2101;1735
137893;Status;3;11;4;11;0;9056;16362;1006;847
137893;Photo;1;11;4;2;1;11444;46054;555;418
137893;Video;1;11;3;11;0;13544;30235;517;458
137893;Photo;1;11;3;2;1;37376;68610;1150;808
137893;Photo;1;11;3;2;0;1228;2392;17;17
137177;Photo;1;11;1;10;0;22984;59040;438;374
137177;Photo;2;11;1;3;0;1445;2774;217;167
137177;Photo;1;11;7;12;0;3754;8533;658;640
137177;Status;2;11;7;3;0;8728;17827;2295;2235
137177;Photo;3;11;6;10;0;5990;11123;657;361
137177;Photo;1;11;6;3;0;4582;9193;454;306
137177;Photo;3;11;5;10;1;2938;5799;321;243
137177;Status;3;11;5;2;0;6692;13092;199;108
137177;Photo;1;11;4;9;1;2566;5244;384;280
137177;Link;1;11;4;3;0;21176;54779;330;228
137177;Photo;3;11;3;10;0;4012;7955;550;319
137177;Photo;1;11;3;3;0;1531;2838;212;189
137059;Photo;1;11;2;11;1;2938;6056;374;283
137059;Photo;1;11;2;3;0;24720;37240;845;564
137059;Photo;2;11;1;9;0;2219;4545;287;220
137059;Photo;3;11;1;3;0;4732;9303;607;352
137059;Photo;3;11;7;9;0;2225;4239;310;216
137059;Photo;2;11;7;4;0;2626;4943;316;213
137059;Photo;3;10;6;10;0;3090;5744;391;257
137059;Photo;1;10;6;3;0;1101;2548;324;287
137059;Photo;2;10;5;11;0;2819;5230;318;218
137020;Status;2;10;5;3;1;12468;24917;2143;1966
137020;Photo;1;10;4;10;0;12776;21893;785;539
137020;Photo;1;10;4;9;1;1357;2453;37;37
137020;Photo;2;10;4;3;0;68896;104952;2624;1326
137020;Photo;3;10;3;10;0;1711;3174;288;245
137020;Photo;1;10;3;4;0;1388;2544;224;219
137020;Photo;1;10;2;11;1;2645;5472;357;315
137020;Photo;1;10;2;4;0;70144;111745;3216;2628
137020;Photo;3;10;1;11;0;3674;7221;452;330
136736;Status;2;10;1;4;0;9504;19556;1132;1032
136736;Photo;3;10;7;9;0;2426;4469;320;237
136736;Status;2;10;7;3;0;13872;27468;2664;2570
136736;Photo;1;10;6;10;0;1673;3655;338;324
136736;Photo;1;10;6;8;0;1261;2158;37;37
136736;Photo;2;10;6;4;0;2428;4510;311;238
136642;Photo;2;10;1;3;1;2227;4070;369;314
136642;Photo;1;10;7;13;0;1592;2749;370;356
136642;Photo;1;10;7;12;1;813;1568;323;319
136642;Photo;1;10;7;12;0;32208;57472;1810;1490
136642;Photo;1;10;7;11;0;729;1374;303;298
136642;Photo;1;10;7;10;0;834;1570;399;392
136393;Photo;1;10;7;10;0;786;1573;263;257
136393;Photo;1;10;7;9;0;584;1029;273;271
136393;Status;2;10;7;9;0;15816;30514;2733;2654
136393;Photo;1;10;7;8;0;619;1096;257;254
136393;Photo;1;10;7;7;0;617;1071;229;223
136393;Photo;1;10;7;6;0;677;1285;251;246
136393;Photo;1;10;7;5;0;677;1240;236;228
136393;Photo;3;10;7;3;0;3366;6647;474;345
136393;Photo;1;10;6;13;0;747;1443;226;220
136393;Photo;1;10;6;13;0;645;1117;195;192
136393;Photo;1;10;6;12;0;754;1510;206;205
136393;Photo;1;10;6;11;0;910;1673;207;201
136393;Photo;1;10;6;9;0;3906;8239;868;863
136393;Photo;1;10;6;9;0;659;1158;199;194
136393;Photo;1;10;6;8;0;652;1331;214;206
136393;Photo;1;10;6;6;0;861;1565;214;192
136393;Photo;1;10;6;2;0;3690;7659;424;388
136393;Link;1;10;5;10;0;4664;9463;204;182
136013;Photo;1;10;5;8;0;1080;2427;210;189
136013;Status;2;10;5;3;0;8896;17202;1480;1426
136013;Photo;1;10;4;10;1;4018;8617;428;374
136013;Link;1;10;4;3;0;68992;229733;1032;975
136013;Status;3;10;3;10;0;13152;25666;2543;2438
136013;Status;2;10;3;2;1;31136;59964;6164;5934
136013;Photo;3;10;2;10;1;16776;39549;714;440
136013;Photo;1;10;2;3;1;50736;140432;1462;1450
136013;Photo;1;10;1;10;1;5324;11040;528;483
136013;Photo;3;10;1;3;0;18120;44940;421;282
135713;Photo;3;10;7;10;0;2291;3960;303;243
135713;Status;2;10;7;4;0;10744;20691;1967;1877
135713;Link;1;10;6;11;1;3616;6887;111;90
135713;Photo;1;10;6;4;0;39984;112830;2105;1921
135713;Photo;2;10;5;11;0;4010;7444;477;370
135713;Photo;2;10;5;4;1;6564;12097;806;602
135713;Photo;1;10;4;10;0;8612;20151;813;727
135713;Photo;2;10;4;1;0;5568;10282;746;545
135700;Photo;2;9;3;7;0;1685;2999;322;295
135700;Photo;2;9;2;11;0;3756;7094;469;408
135700;Photo;3;9;2;2;0;2656;4862;390;309
135700;Photo;2;9;1;10;0;5086;9493;622;509
135617;Photo;2;9;1;3;1;2055;3915;346;288
135617;Photo;3;9;7;9;0;9384;14948;757;452
135617;Photo;2;9;7;3;0;3992;7255;598;447
135617;Photo;3;9;6;10;0;7512;13633;769;614
135617;Status;2;9;6;4;0;11096;21080;1843;1724
135428;Photo;1;9;5;10;0;1060;2004;266;251
135428;Photo;2;9;5;3;1;2790;4879;435;360
135428;Photo;1;9;4;10;1;13856;37716;519;450
135428;Photo;3;9;4;2;1;10748;19724;892;498
135428;Photo;1;9;3;10;0;41984;68290;3370;2420
135428;Photo;2;9;3;2;1;2522;4583;455;390
135195;Photo;3;9;2;9;0;4480;8039;572;430
135195;Photo;1;9;2;2;0;1543;2874;360;334
135195;Status;2;9;1;10;0;21256;41906;4840;4754
135195;Photo;1;9;1;4;0;4484;7829;545;424
135195;Photo;2;9;7;3;0;4398;8105;584;446
135195;Status;2;9;6;10;1;13216;24738;2675;2584
135195;Photo;3;9;6;3;1;22304;37159;1805;984
135195;Photo;1;9;5;11;0;6208;10830;644;473
135195;Photo;2;9;5;2;0;4518;8533;626;482
135195;Photo;2;9;4;10;0;3582;6518;537;430
134879;Status;2;9;4;4;1;9124;17776;1476;1397
134879;Photo;1;9;3;10;0;14152;38806;631;549
134879;Photo;3;9;3;2;1;4260;7989;588;435
134879;Video;1;9;2;10;0;30624;56950;2080;1956
134879;Photo;2;9;2;3;0;2363;4223;393;348
134879;Photo;1;9;1;10;0;2232;4005;374;335
134879;Photo;2;9;1;6;0;4048;7217;544;405
134879;Photo;2;9;7;10;0;1804;2968;330;280
134879;Photo;3;9;7;4;1;2351;4028;371;298
133679;Photo;2;9;2;10;0;3100;5388;518;422
133679;Photo;3;9;2;3;1;2360;4004;436;365
133679;Photo;3;8;1;10;0;19648;33643;1359;695
133679;Photo;2;8;1;4;0;2295;3721;377;324
133594;Photo;2;8;7;10;1;3934;6330;512;437
133594;Photo;1;8;7;3;0;34512;76659;1666;1333
133594;Photo;2;8;6;10;0;5282;8730;703;530
133594;Photo;1;8;6;8;0;1809;3130;399;359
133594;Photo;2;8;5;13;0;1920;3124;365;331
133451;Photo;1;8;4;9;1;1954;3530;356;333
132817;Photo;3;8;4;10;0;33536;64850;1954;1016
132817;Photo;2;8;4;3;1;4204;7191;498;408
132817;Photo;1;8;3;9;0;3376;6557;428;409
132817;Status;2;8;3;2;1;9236;16054;1151;1130
132817;Photo;3;8;2;10;0;72864;205934;946;759
132817;Photo;3;8;2;3;0;3358;5682;394;323
132201;Photo;1;8;1;12;1;3254;5644;371;344
132201;Photo;1;8;1;3;0;50640;121234;2240;1577
132201;Photo;2;8;7;10;0;3734;6218;529;434
132201;Photo;3;8;7;3;0;2594;4220;347;315
132201;Photo;2;8;6;10;1;2232;3772;376;322
132201;Photo;3;8;6;3;1;22120;54734;979;906
132201;Photo;3;8;5;10;0;7980;12978;630;398
132201;Photo;2;8;5;1;0;1659;2845;345;321
132201;Photo;3;8;4;11;1;1006;1594;277;268
132201;Photo;3;8;4;3;1;12728;21685;844;461
131956;Photo;1;8;3;10;0;28880;64746;1062;991
131956;Photo;2;8;3;4;0;1330;2327;363;351
131956;Status;2;8;2;12;0;14424;26000;304;286
131956;Photo;1;8;2;7;0;14200;26728;1393;1354
131956;Photo;3;8;1;12;0;5746;9874;769;632
131956;Photo;2;8;1;4;0;2540;4372;389;330
131956;Photo;3;8;7;10;0;4324;7241;548;431
131808;Status;2;8;7;4;0;8260;14305;997;953
131808;Status;2;8;6;10;1;20168;35904;3370;3244
131808;Photo;1;8;6;6;0;5046;9084;528;477
131808;Status;2;7;5;14;0;15296;25269;2827;2781
131728;Photo;3;7;5;8;1;3414;6369;473;342
131728;Photo;1;7;4;10;1;95424;252207;699;575
131728;Photo;2;7;4;3;0;14824;21863;868;591
131630;Photo;2;7;3;13;0;3504;5699;444;374
131630;Photo;3;7;2;23;0;2822;5058;424;351
131630;Photo;3;7;2;13;0;2973;5063;356;297
131630;Status;2;7;2;6;1;10824;20573;135;126
131630;Photo;1;7;1;11;0;4592;6691;320;289
131630;Photo;2;7;1;5;0;3176;5278;372;319
131300;Status;2;7;7;10;0;10956;19279;128;119
131300;Photo;3;7;7;4;0;10888;19744;913;783
131300;Photo;2;7;6;10;0;3594;6316;424;354
131300;Photo;1;7;6;2;0;3384;6166;451;395
130791;Photo;2;7;5;11;1;4096;7200;487;406
130791;Photo;3;7;5;3;0;19968;35161;1016;592
130791;Photo;1;7;4;11;0;4892;8499;536;460
130791;Status;2;7;4;6;0;17360;33613;2573;2448
130791;Video;1;7;3;11;1;21872;40413;3872;3822
130791;Photo;2;7;3;5;1;180480;319133;8072;4010
130791;Photo;1;7;2;13;0;44464;66824;1052;930
130791;Photo;2;7;2;8;0;2881;5188;550;503
129600;Photo;2;7;1;12;0;3460;6503;541;482
129600;Photo;3;7;1;6;0;3406;5656;571;512
129600;Photo;2;7;7;11;1;2602;4349;479;444
129600;Photo;1;7;7;6;1;5848;9068;622;570
129600;Photo;1;7;6;11;0;26944;43464;877;740
129600;Photo;3;7;6;5;0;5292;9321;756;646
129600;Status;2;7;5;12;1;15576;27513;2417;2327
129600;Photo;3;7;5;3;0;54256;82011;1620;963
129600;Photo;2;7;4;12;1;3726;6372;602;574
129600;Photo;1;7;4;6;1;31904;50539;863;770
129600;Photo;1;7;3;13;1;40336;65309;1407;1330
129600;Photo;2;7;3;1;0;4220;7774;685;597
129600;Photo;3;7;2;13;0;4666;8360;729;648
129600;Photo;2;7;2;7;1;4274;7948;701;638
129600;Photo;1;7;1;13;0;28208;41650;964;827
128032;Photo;2;7;1;3;0;3330;5461;513;478
128032;Photo;2;7;7;11;1;3528;5918;550;513
128032;Photo;3;7;7;3;0;38576;55398;1355;890
128032;Photo;3;7;6;13;1;2628;4264;528;503
128032;Photo;1;7;6;3;0;7232;12735;758;700
128032;Status;2;7;5;10;0;10188;16978;1473;1441
128032;Photo;1;7;5;3;0;6408;11881;909;861
128032;Photo;1;7;4;9;1;3414;6050;515;493
128032;Photo;2;7;4;5;1;53056;65260;2003;1412
128032;Photo;1;7;3;10;1;66976;111502;1191;1054
127082;Photo;1;7;3;3;1;76096;94644;2889;2495
126424;Photo;3;7;4;12;0;5458;9098;1007;933
126424;Photo;2;7;4;3;0;3706;6194;895;884
126424;Status;2;7;3;13;0;18320;31448;3742;3682
126424;Photo;3;7;3;4;1;2316;3611;722;716
126424;Video;1;6;2;13;0;139008;277100;1779;1643
126345;Photo;1;6;2;9;1;5854;11854;1043;947
126345;Photo;1;6;2;3;0;109056;191324;2552;2457
126345;Photo;2;6;1;12;0;3212;4908;735;720
126345;Photo;2;6;1;4;0;3046;4909;909;872
126345;Status;2;6;7;11;0;12044;20327;2240;2193
126141;Photo;1;6;7;4;1;9652;16968;1400;1381
126141;Photo;1;6;6;12;0;28112;47721;1631;1537
126141;Status;2;6;6;4;0;8628;14847;870;843
126141;Photo;1;6;5;11;1;2431;4180;389;383
126141;Photo;1;6;4;22;1;20560;24112;936;860
126141;Photo;1;6;4;12;0;20896;29062;1418;1038
125612;Photo;1;6;4;11;0;2402;4072;170;145
125612;Photo;1;6;4;7;0;1729;3289;596;591
125612;Photo;2;6;4;3;0;4320;7127;753;681
125612;Photo;1;6;3;11;0;2585;4410;569;560
125612;Photo;2;6;3;3;0;3322;5969;610;569
125612;Photo;1;6;2;13;0;3600;5807;691;656
125612;Photo;1;6;2;2;0;11620;21564;1160;1138
125612;Photo;3;6;1;14;0;4248;7004;724;671
125612;Photo;3;6;1;3;0;2763;4388;564;523
125612;Photo;2;6;7;11;0;3558;5396;621;568
124940;Photo;1;6;7;4;0;8324;14480;840;834
124940;Photo;2;6;6;9;0;6952;11469;909;779
124940;Photo;3;6;6;2;1;2823;4955;552;503
124940;Photo;1;6;5;13;1;63840;102620;1382;1229
124940;Photo;3;6;5;3;1;11608;15323;985;705
124940;Photo;1;6;4;12;0;58304;80871;884;715
124940;Photo;3;6;4;2;0;4762;8303;842;725
124940;Photo;2;6;3;13;0;6150;10217;750;676
124940;Photo;3;6;3;3;1;4644;8178;768;683
124940;Photo;3;6;2;13;0;22464;29650;1029;934
124940;Photo;3;6;2;3;0;3754;6295;791;730
124940;Photo;1;6;1;13;0;4452;7998;666;658
124940;Photo;3;6;1;3;0;3576;5525;664;618
124940;Photo;3;6;7;10;0;3028;4794;579;548
124940;Photo;3;6;7;3;1;4022;6503;647;616
124940;Photo;1;6;6;12;1;52736;73584;1635;1622
124940;Photo;3;6;6;4;0;47376;70212;1557;1426
123047;Photo;3;6;5;12;0;3234;5113;756;724
123047;Photo;2;6;5;3;0;3322;5553;702;656
123047;Photo;3;6;4;13;0;6768;11525;768;672
123047;Photo;2;6;4;5;1;11304;20647;1141;1065
123047;Photo;1;6;3;11;0;13544;18474;759;733
123047;Photo;3;6;2;13;0;3418;5659;581;546
123047;Photo;3;6;2;5;1;3662;6476;560;522
123047;Photo;3;6;1;10;0;56672;104966;2579;1334
123047;Photo;3;6;1;3;1;3294;5499;526;488
121540;Photo;3;6;1;3;0;3110;5405;732;712
121540;Photo;2;5;7;14;0;3806;6486;722;658
120050;Photo;3;5;5;9;1;3776;6736;577;529
120050;Photo;3;5;4;12;0;39040;55633;1684;1183
120050;Photo;3;5;4;4;1;4032;7278;684;607
120050;Photo;3;5;3;12;0;21248;34095;1049;918
119198;Photo;3;5;3;5;0;4344;8025;692;626
119198;Photo;3;5;2;12;0;2718;4698;566;528
119198;Photo;3;5;2;1;0;3024;5630;596;560
119198;Status;2;5;1;2;0;10152;17099;1636;1599
119198;Photo;2;5;7;2;0;4708;8090;678;594
119198;Photo;3;5;6;14;0;2772;4642;526;479
119198;Photo;3;5;6;6;0;2812;4954;536;485
119198;Photo;3;5;5;10;1;6460;11373;823;706
117764;Photo;1;5;4;10;0;18056;32576;1062;875
117764;Photo;3;5;4;4;0;5016;8745;679;569
117764;Photo;3;5;3;11;0;3528;6181;470;415
117764;Photo;2;5;2;11;0;6444;11509;734;625
117764;Photo;3;5;1;13;1;4458;7753;491;432
117764;Link;1;5;1;2;0;12540;19301;344;322
117764;Photo;3;5;7;13;1;4362;7378;604;509
117764;Photo;3;5;7;2;0;38960;65149;2298;1702
117764;Photo;3;5;6;13;0;3144;5067;392;356
117764;Photo;3;5;6;8;1;4336;7705;574;484
117764;Photo;3;5;5;13;0;81856;124753;3000;1637
116435;Photo;2;5;5;9;0;5728;10164;676;587
116435;Photo;3;5;4;13;1;5490;9518;647;555
116435;Status;1;5;4;3;1;23832;42313;1701;1570
116435;Photo;3;5;3;7;0;18552;25542;1005;676
116435;Photo;2;5;2;14;0;4132;7165;552;495
116435;Photo;1;5;2;8;0;4910;9209;625;561
116435;Photo;3;5;1;13;0;4202;7633;562;481
116091;Photo;2;5;1;3;0;5976;10441;689;544
116091;Photo;2;5;7;14;0;5206;8962;565;492
116091;Photo;3;5;7;2;0;6984;12066;780;631
116091;Photo;1;5;6;9;0;6000;10300;577;539
116091;Photo;3;5;6;3;0;3332;5797;463;406
116091;Status;2;5;5;7;0;9232;16811;908;861
115893;Photo;3;4;4;15;1;5212;9035;736;642
115893;Photo;1;4;3;13;0;24264;51899;1599;1485
115368;Photo;3;4;3;8;0;4280;7594;624;555
115368;Photo;3;4;2;13;0;6692;11859;905;742
115368;Photo;3;4;2;2;1;5594;9586;739;670
115368;Photo;1;4;1;2;0;11336;15350;583;547
113028;Photo;2;4;7;3;1;5582;9903;708;620
113028;Photo;1;4;6;14;0;28352;55202;1476;1242
113028;Status;2;4;6;3;1;17912;34774;2750;2567
113028;Link;1;4;5;7;1;35360;45260;339;325
113028;Photo;1;4;5;5;0;9084;15194;962;916
113028;Photo;1;4;4;12;1;6880;11736;671;639
111620;Photo;3;4;4;7;1;12824;18929;830;623
111620;Photo;3;4;3;7;0;6596;9835;564;526
111620;Photo;3;4;2;13;1;7492;12414;838;713
111620;Photo;1;4;2;6;1;44288;60918;1215;1105
111620;Photo;3;4;1;14;1;105632;147918;3984;2254
111620;Photo;1;4;7;14;0;128064;251269;1539;1408
109670;Photo;3;4;6;20;0;5994;9970;964;838
109670;Photo;1;4;6;13;0;6172;10417;718;684
109670;Photo;3;4;6;3;0;4986;8198;662;614
109670;Photo;1;4;5;13;0;6668;10701;669;642
109670;Photo;3;4;5;7;1;5298;8875;657;575
109670;Photo;1;4;4;3;0;35008;45508;621;597
109670;Photo;1;4;3;13;1;5402;8891;700;633
109670;Photo;1;4;3;8;0;9880;12695;524;497
109670;Photo;1;4;2;13;0;3334;5953;584;565
109670;Photo;3;4;2;2;1;3130;5313;522;495
109670;Photo;2;4;1;13;1;32208;55696;1933;1367
109670;Photo;1;4;1;2;0;20920;26026;705;642
109670;Photo;3;4;7;14;0;3884;6406;518;483
107907;Photo;3;4;7;13;0;4240;7057;601;542
107907;Photo;1;4;6;9;0;3544;6156;509;482
107907;Photo;3;4;6;3;1;3286;6276;504;458
107907;Photo;1;4;5;9;0;71360;110172;1784;1732
107907;Photo;3;4;5;3;0;3824;6333;666;627
107907;Photo;3;4;4;13;0;6360;11079;715;631
107907;Photo;3;4;4;5;1;3714;6385;537;481
107907;Photo;1;4;3;13;1;46192;80227;1364;1096
107907;Photo;1;4;3;4;1;39568;47128;741;652
107907;Link;1;4;2;6;0;70912;94172;1374;1106
107907;Photo;3;4;1;3;0;4552;7253;471;444
107907;Photo;3;4;7;10;0;4390;7004;484;453
107907;Photo;3;4;7;3;0;4770;7716;494;455
106928;Photo;3;4;6;9;1;2970;4649;421;390
106928;Link;1;4;6;4;0;34192;42092;338;322
106928;Photo;2;4;5;13;0;5302;8769;624;566
106928;Photo;2;4;5;3;0;5560;9301;642;586
106928;Photo;3;4;4;13;0;4406;6769;477;433
106928;Photo;1;4;4;3;1;5290;8132;612;570
104070;Photo;1;3;5;14;1;3696;5824;517;474
104070;Photo;1;3;4;14;1;6030;9579;735;659
104070;Photo;1;3;4;7;0;49632;1110282;1653;1480
104070;Status;1;3;3;15;0;9120;14759;951;937
104070;Photo;1;3;3;10;0;1874;2474;25;25
102112;Photo;1;3;3;10;0;4122;7073;466;455
102112;Photo;1;3;3;4;0;5080;8238;523;505
102112;Photo;1;3;2;12;0;4068;7333;538;513
102112;Photo;1;3;2;3;0;3272;6079;463;446
102112;Photo;1;3;1;19;0;238;570;143;142
102112;Photo;1;3;1;18;0;3358;5900;541;507
102112;Photo;1;3;1;18;0;6400;11941;735;726
102112;Link;3;3;1;3;0;6876;10885;282;245
100732;Photo;1;3;7;18;0;391;746;131;130
100732;Photo;1;3;7;17;0;10844;22468;1409;1339
100732;Photo;1;3;7;15;0;5132;9067;398;398
100732;Photo;1;3;7;15;0;3772;6971;144;144
100732;Link;1;3;7;14;0;2933;5144;24;23
100732;Photo;1;3;7;12;0;4094;7469;206;203
100732;Photo;1;3;6;17;0;452;726;186;184
100732;Photo;1;3;6;17;0;11420;23855;1411;1342
100732;Photo;1;3;6;15;0;5704;10510;452;450
100732;Photo;1;3;6;15;0;7192;12811;587;554
100732;Photo;1;3;6;13;1;9604;16557;1061;1037
100732;Photo;1;3;6;10;0;122944;457509;1373;1268
98195;Link;2;3;6;6;0;5730;10083;103;71
98195;Photo;1;3;6;3;0;4898;7960;560;528
98195;Photo;1;3;5;10;0;4118;7355;546;526
98195;Photo;1;3;5;4;1;1845;2670;9;9
98195;Photo;3;3;4;13;0;34480;191207;1591;1156
96749;Photo;3;3;2;9;0;5338;9940;589;556
96749;Photo;2;3;2;5;0;5312;9411;603;582
96749;Photo;1;3;1;13;1;4412;8070;711;678
96749;Photo;1;3;1;2;1;98816;125026;11452;11328
96749;Photo;1;3;7;10;1;7220;12735;2348;2300
96749;Photo;1;3;7;5;1;14320;21958;1850;1819
93684;Photo;1;2;6;13;1;27056;162816;2299;2127
93577;Photo;1;2;6;6;0;20528;33000;1876;1800
93470;Photo;1;2;5;12;0;6416;11459;1362;1313
93363;Photo;1;2;5;6;0;5786;10634;1237;1218
93256;Photo;3;2;4;12;0;5878;10508;1132;1087
93149;Photo;3;2;4;3;0;9528;16535;1383;1288
93042;Photo;3;2;3;13;0;8500;14157;1095;1029
92935;Photo;1;2;3;9;1;3796;6737;949;940
92828;Photo;1;2;3;6;0;28128;42940;2283;2190
92721;Photo;3;2;2;13;0;7228;12627;1239;1189
92614;Photo;2;2;2;3;1;5290;9100;1053;994
92507;Photo;3;2;1;13;0;55520;665792;4544;3586
92400;Photo;1;2;1;4;0;5880;10115;1291;1264
92293;Photo;3;2;7;13;1;10040;17029;1429;1346
92186;Photo;3;2;7;2;1;153536;497910;1713;1633
92079;Photo;1;2;6;13;0;158208;453213;2482;2319
91972;Photo;3;2;6;3;0;6484;10832;1166;1115
91865;Photo;2;2;5;13;1;4840;7466;949;923
91758;Photo;2;2;5;3;1;15880;51571;1188;1071
91651;Photo;1;2;4;12;0;15288;31467;1573;1401
91544;Photo;3;2;4;3;0;9528;16779;1245;1175
91437;Link;1;2;3;13;0;9356;14986;448;381
91330;Photo;3;2;3;3;0;7732;13264;1066;1002
91223;Photo;1;2;2;13;0;5240;8893;857;837
91116;Photo;3;2;2;4;1;7132;12060;1004;944
91009;Photo;1;2;1;12;0;21928;39641;1512;1479
86909;Photo;3;1;6;16;1;5754;9238;1179;1143
86909;Photo;1;1;6;10;1;37088;10966;2728;2288
86909;Link;1;1;6;4;0;39600;7927;572;496
86909;Photo;3;1;5;13;0;5536;8745;1141;1099
86909;Photo;3;1;5;4;0;6056;10325;1117;1078
86909;Photo;2;1;4;11;0;11484;20696;1762;1635
86491;Link;1;1;4;4;1;4938;7910;66;63
86491;Photo;3;1;3;10;0;66784;9456;2969;2833
86491;Photo;2;1;3;3;0;5526;8779;1096;1058
86491;Photo;3;1;2;7;0;5040;8367;1062;1023
86491;Link;1;1;2;2;0;5168;8371;66;59
85979;Photo;3;1;1;12;0;5034;8030;1020;993
85979;Photo;3;1;1;2;0;4908;7491;957;937
85979;Photo;3;1;7;10;0;9700;17442;1407;1271
85979;Photo;3;1;7;2;0;4800;7754;975;938
85979;Photo;3;1;6;11;0;5280;8703;951;911
85979;Photo;3;1;6;3;1;6184;10228;956;901
85979;Link;1;1;5;11;0;45920;5808;753;655
85093;Photo;3;1;1;2;0;8412;13960;1179;1111
85093;Photo;3;1;7;10;0;5400;9218;810;756
85093;Photo;3;1;7;2;0;4684;7536;733;708
81370;Photo;2;1;5;8;0;3480;6229;537;508
81370;Photo;1;1;5;2;0;3778;7216;625;572
81370;Photo;3;1;4;11;0;4156;7564;626;574
81370;Photo;2;1;4;4;;4188;7292;564;524
