,Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,Lifetime Post Total Reach,Lifetime Post Total Impressions,Lifetime Engaged Users,Lifetime Post Consumers,Lifetime Post Consumptions,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime People who have liked your Page and engaged with your post,comment,like,share,Total Interactions
66,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,250,4309,2324,199,3,113.0,26.0,142
67,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,145,3887,2174,165,0,88.0,18.0,106
68,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,133,3779,2072,152,0,90.0,14.0,104
69,139441,Photo,3,12,6,10,0.0,4694,8668,280,183,168,3631,1917,183,5,137.0,10.0,152
70,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,159,3078,1640,119,4,79.0,17.0,100
71,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,154,2812,1503,132,0,66.0,14.0,80
72,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,1119,61027,32048,1386,58,1572.0,147.0,1777
73,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,580,6228,3200,396,19,325.0,49.0,393
74,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,364,15432,9328,379,3,249.0,27.0,279
75,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,305,19728,11056,422,0,325.0,14.0,339
76,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,250,4309,2324,199,3,113.0,26.0,142
77,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,145,3887,2174,165,0,88.0,18.0,106
78,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,133,3779,2072,152,0,90.0,14.0,104
79,139441,Photo,2,12,5,10,0.0,3112,5590,208,127,168,3631,1917,183,5,137.0,10.0,152
80,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,159,3078,1640,119,4,79.0,17.0,100
81,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,154,2812,1503,132,0,66.0,14.0,80
82,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,1119,61027,32048,1386,58,1572.0,147.0,1777
83,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,580,6228,3200,396,19,325.0,49.0,393
84,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,364,15432,9328,379,3,249.0,27.0,279
85,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,305,19728,11056,422,0,325.0,14.0,339
86,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,250,4309,2324,199,3,113.0,26.0,142
87,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,145,3887,2174,165,0,88.0,18.0,106
88,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,133,3779,2072,152,0,90.0,14.0,104
89,139441,Photo,2,12,5,10,0.0,2847,5133,193,115,168,3631,1917,183,5,137.0,10.0,152
90,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,159,3078,1640,119,4,79.0,17.0,100
91,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,154,2812,1503,132,0,66.0,14.0,80
92,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,1119,61027,32048,1386,58,1572.0,147.0,1777
93,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,580,6228,3200,396,19,325.0,49.0,393
94,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,364,15432,9328,379,3,249.0,27.0,279
95,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,305,19728,11056,422,0,325.0,14.0,339
96,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,250,4309,2324,199,3,113.0,26.0,142
97,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,145,3887,2174,165,0,88.0,18.0,106
98,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,133,3779,2072,152,0,90.0,14.0,104
99,139441,Photo,2,12,5,3,0.0,2549,4896,249,134,168,3631,1917,183,5,137.0,10.0,152
100,139441,Status,2,12,3,10,0.0,10460,19057,1457,1361,1674,11710,6112,1108,5,130.0,29.0,164
101,139441,Status,2,12,3,10,0.0,10460,19057,1457,1361,1389,16034,7852,1016,1,152.0,33.0,186
102,139441,Status,2,12,3,10,0.0,10460,19057,1457,1361,1692,15220,7912,1250,0,161.0,31.0,192
103,139441,Status,2,12,3,10,0.0,10460,19057,1457,1361,4540,37849,18952,3798,0,233.0,19.0,252
104,139441,Status,2,12,1,9,0.0,10472,20849,1191,1073,1674,11710,6112,1108,5,130.0,29.0,164
105,139441,Status,2,12,1,9,0.0,10472,20849,1191,1073,1389,16034,7852,1016,1,152.0,33.0,186
106,139441,Status,2,12,1,9,0.0,10472,20849,1191,1073,1692,15220,7912,1250,0,161.0,31.0,192
107,139441,Status,2,12,1,9,0.0,10472,20849,1191,1073,4540,37849,18952,3798,0,233.0,19.0,252
108,139441,Status,2,12,7,3,0.0,11844,22538,1530,1407,1674,11710,6112,1108,5,130.0,29.0,164
109,139441,Status,2,12,7,3,0.0,11844,22538,1530,1407,1389,16034,7852,1016,1,152.0,33.0,186
110,139441,Status,2,12,7,3,0.0,11844,22538,1530,1407,1692,15220,7912,1250,0,161.0,31.0,192
111,139441,Status,2,12,7,3,0.0,11844,22538,1530,1407,4540,37849,18952,3798,0,233.0,19.0,252
112,139441,Status,2,12,5,10,0.0,21744,42334,4258,4100,1674,11710,6112,1108,5,130.0,29.0,164
113,139441,Status,2,12,5,10,0.0,21744,42334,4258,4100,1389,16034,7852,1016,1,152.0,33.0,186
114,139441,Status,2,12,5,10,0.0,21744,42334,4258,4100,1692,15220,7912,1250,0,161.0,31.0,192
115,139441,Status,2,12,5,10,0.0,21744,42334,4258,4100,4540,37849,18952,3798,0,233.0,19.0,252
116,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,417,34415,19312,684,2,577.0,20.0,599
117,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,148,1868,1050,123,2,40.0,12.0,54
118,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,1655,92512,39776,1307,15,678.0,20.0,713
119,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,111,2116,1161,100,0,34.0,8.0,42
120,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,184,3561,1963,157,3,66.0,12.0,81
121,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,20,2196,1172,15,0,0.0,0.0,0
122,138414,Photo,2,12,4,5,1.0,22784,39941,887,337,143,2964,1621,143,0,72.0,24.0,96
123,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,417,34415,19312,684,2,577.0,20.0,599
124,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,148,1868,1050,123,2,40.0,12.0,54
125,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,1655,92512,39776,1307,15,678.0,20.0,713
126,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,111,2116,1161,100,0,34.0,8.0,42
127,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,184,3561,1963,157,3,66.0,12.0,81
128,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,20,2196,1172,15,0,0.0,0.0,0
129,138414,Photo,3,12,3,3,0.0,1722,2981,163,123,143,2964,1621,143,0,72.0,24.0,96
130,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,417,34415,19312,684,2,577.0,20.0,599
131,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,148,1868,1050,123,2,40.0,12.0,54
132,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,1655,92512,39776,1307,15,678.0,20.0,713
133,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,111,2116,1161,100,0,34.0,8.0,42
134,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,184,3561,1963,157,3,66.0,12.0,81
135,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,20,2196,1172,15,0,0.0,0.0,0
136,138414,Photo,1,12,2,12,1.0,53264,111785,1706,1103,143,2964,1621,143,0,72.0,24.0,96
137,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,417,34415,19312,684,2,577.0,20.0,599
138,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,148,1868,1050,123,2,40.0,12.0,54
139,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,1655,92512,39776,1307,15,678.0,20.0,713
140,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,111,2116,1161,100,0,34.0,8.0,42
141,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,184,3561,1963,157,3,66.0,12.0,81
142,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,20,2196,1172,15,0,0.0,0.0,0
143,138414,Photo,3,12,1,11,0.0,1591,2825,121,88,143,2964,1621,143,0,72.0,24.0,96
144,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,417,34415,19312,684,2,577.0,20.0,599
145,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,148,1868,1050,123,2,40.0,12.0,54
146,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,1655,92512,39776,1307,15,678.0,20.0,713
147,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,111,2116,1161,100,0,34.0,8.0,42
148,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,184,3561,1963,157,3,66.0,12.0,81
149,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,20,2196,1172,15,0,0.0,0.0,0
150,138414,Photo,2,12,1,3,0.0,2848,5066,200,142,143,2964,1621,143,0,72.0,24.0,96
151,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,417,34415,19312,684,2,577.0,20.0,599
152,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,148,1868,1050,123,2,40.0,12.0,54
153,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,1655,92512,39776,1307,15,678.0,20.0,713
154,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,111,2116,1161,100,0,34.0,8.0,42
155,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,184,3561,1963,157,3,66.0,12.0,81
156,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,20,2196,1172,15,0,0.0,0.0,0
157,138414,Photo,1,12,7,10,0.0,1384,2467,15,15,143,2964,1621,143,0,72.0,24.0,96
158,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,417,34415,19312,684,2,577.0,20.0,599
159,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,148,1868,1050,123,2,40.0,12.0,54
160,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,1655,92512,39776,1307,15,678.0,20.0,713
161,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,111,2116,1161,100,0,34.0,8.0,42
162,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,184,3561,1963,157,3,66.0,12.0,81
163,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,20,2196,1172,15,0,0.0,0.0,0
164,138414,Photo,3,12,7,3,0.0,2723,4888,176,118,143,2964,1621,143,0,72.0,24.0,96
165,138414,Status,2,12,3,10,0.0,10060,19680,1264,1209,1425,17272,8548,1162,4,86.0,18.0,108
166,138414,Status,2,12,3,10,0.0,10060,19680,1264,1209,112,5009,2410,101,4,54.0,17.0,75
167,138414,Status,2,12,3,10,0.0,10060,19680,1264,1209,1489,9684,5244,995,3,99.0,19.0,121
168,138414,Status,3,12,2,3,0.0,3930,7509,130,86,1425,17272,8548,1162,4,86.0,18.0,108
169,138414,Status,3,12,2,3,0.0,3930,7509,130,86,112,5009,2410,101,4,54.0,17.0,75
170,138414,Status,3,12,2,3,0.0,3930,7509,130,86,1489,9684,5244,995,3,99.0,19.0,121
171,138414,Status,2,12,6,10,0.0,8488,15294,1341,1270,1425,17272,8548,1162,4,86.0,18.0,108
172,138414,Status,2,12,6,10,0.0,8488,15294,1341,1270,112,5009,2410,101,4,54.0,17.0,75
173,138414,Status,2,12,6,10,0.0,8488,15294,1341,1270,1489,9684,5244,995,3,99.0,19.0,121
174,138414,Link,1,12,7,10,0.0,3454,6853,118,104,130,6282,3100,106,0,16.0,2.0,18
175,138458,Status,2,12,6,3,0.0,8284,15104,1521,1462,1711,10266,5372,1200,0,88.0,18.0,106
176,138458,Status,2,12,6,3,0.0,8284,15104,1521,1462,3420,17748,9824,1779,10,412.0,72.0,494
177,138458,Status,2,12,5,11,0.0,19552,34143,2806,2531,1711,10266,5372,1200,0,88.0,18.0,106
178,138458,Status,2,12,5,11,0.0,19552,34143,2806,2531,3420,17748,9824,1779,10,412.0,72.0,494
179,138458,Photo,3,12,5,3,0.0,2478,4306,212,124,149,2612,1443,166,0,100.0,17.0,117
180,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,885,9217,4748,621,36,523.0,63.0,622
181,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,501,5860,2930,273,33,107.0,22.0,162
182,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,221,1585,858,131,1,27.0,11.0,39
183,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,345,4480,2422,268,2,155.0,47.0,204
184,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,247,3039,1676,194,4,98.0,23.0,125
185,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,431,5782,2938,244,2,56.0,17.0,75
186,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,431,5183,2954,316,6,172.0,21.0,199
187,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,226,3052,1727,199,0,96.0,17.0,113
188,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,805,5187,2752,248,16,76.0,8.0,100
189,138895,Photo,2,12,5,3,0.0,9560,18264,973,559,402,4986,2584,247,1,44.0,14.0,59
190,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,885,9217,4748,621,36,523.0,63.0,622
191,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,501,5860,2930,273,33,107.0,22.0,162
192,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,221,1585,858,131,1,27.0,11.0,39
193,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,345,4480,2422,268,2,155.0,47.0,204
194,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,247,3039,1676,194,4,98.0,23.0,125
195,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,431,5782,2938,244,2,56.0,17.0,75
196,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,431,5183,2954,316,6,172.0,21.0,199
197,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,226,3052,1727,199,0,96.0,17.0,113
198,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,805,5187,2752,248,16,76.0,8.0,100
199,138895,Photo,2,12,4,2,0.0,4940,9390,385,306,402,4986,2584,247,1,44.0,14.0,59
200,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,885,9217,4748,621,36,523.0,63.0,622
201,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,501,5860,2930,273,33,107.0,22.0,162
202,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,221,1585,858,131,1,27.0,11.0,39
203,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,345,4480,2422,268,2,155.0,47.0,204
204,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,247,3039,1676,194,4,98.0,23.0,125
205,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,431,5782,2938,244,2,56.0,17.0,75
206,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,431,5183,2954,316,6,172.0,21.0,199
207,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,226,3052,1727,199,0,96.0,17.0,113
208,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,805,5187,2752,248,16,76.0,8.0,100
209,138895,Photo,2,12,3,10,0.0,1683,2929,192,171,402,4986,2584,247,1,44.0,14.0,59
210,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,885,9217,4748,621,36,523.0,63.0,622
211,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,501,5860,2930,273,33,107.0,22.0,162
212,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,221,1585,858,131,1,27.0,11.0,39
213,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,345,4480,2422,268,2,155.0,47.0,204
214,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,247,3039,1676,194,4,98.0,23.0,125
215,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,431,5782,2938,244,2,56.0,17.0,75
216,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,431,5183,2954,316,6,172.0,21.0,199
217,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,226,3052,1727,199,0,96.0,17.0,113
218,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,805,5187,2752,248,16,76.0,8.0,100
219,138895,Photo,3,12,3,3,0.0,5280,9578,368,237,402,4986,2584,247,1,44.0,14.0,59
220,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,885,9217,4748,621,36,523.0,63.0,622
221,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,501,5860,2930,273,33,107.0,22.0,162
222,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,221,1585,858,131,1,27.0,11.0,39
223,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,345,4480,2422,268,2,155.0,47.0,204
224,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,247,3039,1676,194,4,98.0,23.0,125
225,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,431,5782,2938,244,2,56.0,17.0,75
226,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,431,5183,2954,316,6,172.0,21.0,199
227,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,226,3052,1727,199,0,96.0,17.0,113
228,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,805,5187,2752,248,16,76.0,8.0,100
229,138895,Photo,3,12,2,9,0.0,3002,5318,268,185,402,4986,2584,247,1,44.0,14.0,59
230,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,885,9217,4748,621,36,523.0,63.0,622
231,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,501,5860,2930,273,33,107.0,22.0,162
232,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,221,1585,858,131,1,27.0,11.0,39
233,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,345,4480,2422,268,2,155.0,47.0,204
234,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,247,3039,1676,194,4,98.0,23.0,125
235,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,431,5782,2938,244,2,56.0,17.0,75
236,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,431,5183,2954,316,6,172.0,21.0,199
237,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,226,3052,1727,199,0,96.0,17.0,113
238,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,805,5187,2752,248,16,76.0,8.0,100
239,138895,Photo,1,12,2,3,0.0,3766,7149,298,260,402,4986,2584,247,1,44.0,14.0,59
240,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,885,9217,4748,621,36,523.0,63.0,622
241,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,501,5860,2930,273,33,107.0,22.0,162
242,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,221,1585,858,131,1,27.0,11.0,39
243,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,345,4480,2422,268,2,155.0,47.0,204
244,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,247,3039,1676,194,4,98.0,23.0,125
245,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,431,5782,2938,244,2,56.0,17.0,75
246,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,431,5183,2954,316,6,172.0,21.0,199
247,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,226,3052,1727,199,0,96.0,17.0,113
248,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,805,5187,2752,248,16,76.0,8.0,100
249,138895,Photo,2,12,1,11,0.0,4512,7808,423,284,402,4986,2584,247,1,44.0,14.0,59
250,138895,Photo,3,12,1,3,0.0,2690,4628,252,168,885,9217,4748,621,36,523.0,63.0,622
251,138895,Photo,3,12,1,3,0.0,2690,4628,252,168,501,5860,2930,273,33,107.0,22.0,162
252,138895,Photo,3,12,1,3,0.0,2690,4628,252,168,221,1585,858,131,1,27.0,11.0,39
253,138895,Photo,3,12,1,3,0.0,2690,4628,252,168,345,4480,2422,268,2,155.0,47.0,204
254,138895,Photo,3,12,1,3,0.0,2690,4628,252,168,247,3039,1676,194,4,98.0,23.0,125
