Page total likes;Type;Lifetime Post Consumptions;Lifetime Post Impressions by people who have liked your Page;Lifetime Post reach by people who like your Page;Lifetime People who have liked your Page and engaged with your post;comment;like;share;Total Interactions
133594;Photo;494;2541;1435;289;2;64;7;73
133594;Photo;428;2541;1519;251;1;52;7;60
133451;Photo;443;3295;1772;252;0;30;2;32
132817;Photo;1678;50076;24448;1564;33;1155;102;1290
132817;Photo;596;5161;2974;387;2;139;25;166
132817;Photo;631;5700;2806;331;0;40;5;45
132817;Status;1560;14014;7880;1075;2;53;15;70
132817;Photo;1158;122474;30912;646;4;220;19;243
132817;Photo;523;4200;2426;298;2;114;16;132
132201;Photo;513;5069;2846;283;0;39;3;42
132201;Photo;2779;92348;34880;1790;4;859;68;931
132201;Photo;794;4831;2868;389;5;137;20;162
132201;Photo;529;3418;2067;248;1;54;11;66
132201;Photo;440;2205;1306;257;2;74;22;98
132201;Photo;1751;46700;17528;796;6;98;3;107
132201;Photo;521;9342;5372;467;2;264;21;287
132201;Photo;424;1604;915;239;3;36;11;50
132201;Photo;354;1055;651;187;1;11;3;15
132201;Photo;683;15779;8844;657;4;435;31;470
131956;Photo;1971;40181;15808;740;2;114;10;126
131956;Photo;433;1475;827;230;2;17;9;28
131956;Status;383;25539;14056;291;41;15;1;57
131956;Photo;3214;25610;13376;1233;3;87;10;100
131956;Photo;1063;7407;4288;584;16;227;28;271
131956;Photo;458;3655;2063;279;2;86;8;96
131956;Photo;676;4972;3008;401;6;179;27;212
131808;Status;1211;12905;7360;956;1;74;11;86
131808;Status;5106;26881;15056;2806;18;332;54;404
131808;Photo;906;7723;4184;421;2;80;21;103
131808;Status;3627;22103;13296;2602;9;95;17;121
131728;Photo;525;4518;2390;360;3;188;26;217
131728;Photo;882;78287;22016;417;6;109;11;126
131728;Photo;966;13498;8560;650;64;367;25;456
131630;Photo;497;4487;2730;348;9;102;19;130
131630;Photo;486;3681;2020;327;2;113;20;135
131630;Photo;415;3764;2208;266;0;94;20;114
131630;Status;153;20030;10384;126;6;14;1;21
131630;Photo;423;3238;2100;222;1;43;10;54
131630;Photo;577;3993;2426;279;1;98;21;120
131300;Status;130;18838;10564;123;3;13;1;17
131300;Photo;1370;14425;8048;722;12;237;45;294
131300;Photo;530;4319;2468;309;4;112;23;139
131300;Photo;561;4708;2508;344;2;101;25;128
130791;Photo;723;4911;2826;355;10;145;31;186
130791;Photo;909;26701;14792;757;6;535;83;624
130791;Photo;721;7389;4206;428;4;118;22;144
130791;Status;6017;23338;11800;1905;9;484;79;572
130791;Video;7327;24667;12920;2218;18;315;76;409
130791;Photo;6242;108752;51456;3316;372;5172;790;6334
130791;Photo;1571;22904;14080;559;4;154;30;188
130791;Photo;730;3840;2040;323;0;73;15;88
129600;Photo;667;4371;2260;314;0;96;19;115
129600;Photo;731;4446;2598;355;1;98;19;118
129600;Photo;588;3342;1946;287;1;53;14;68
129600;Photo;795;6651;4212;383;4;71;10;85
129600;Photo;1097;20270;10208;563;6;194;34;234
129600;Photo;1033;5867;3404;516;6;226;42;274
129600;Status;3098;19078;10840;1839;11;238;51;300
129600;Photo;1419;42128;24224;977;10;755;58;823
129600;Photo;785;4760;2852;399;30;47;8;85
129600;Photo;1106;24010;12992;583;2;126;32;160
129600;Photo;2251;27771;14848;907;4;104;10;118
129600;Photo;838;4404;2326;407;10;167;26;203
129600;Photo;1014;5010;2818;459;9;152;41;202
129600;Photo;1020;5936;3164;460;0;128;15;143
129600;Photo;1237;18035;11120;636;13;234;43;290
128032;Photo;652;3675;2196;307;2;61;16;79
128032;Photo;787;4606;2660;360;0;66;9;75
128032;Photo;1328;17365;12624;827;7;529;60;596
128032;Photo;652;3086;1846;328;3;42;10;55
128032;Photo;1236;8855;4712;471;2;75;24;101
128032;Status;2136;14450;8536;1395;13;61;13;87
128032;Photo;14974;7243;4040;490;26;162;7;195
128032;Photo;710;5005;2704;340;2;47;4;53
128032;Photo;2089;23679;17104;975;6;696;28;730
128032;Photo;1641;40203;19968;708;7;215;47;269
127082;Photo;4596;31096;19744;1276;22;534;31;587
126424;Photo;1181;5307;3204;537;1;143;27;171
126424;Photo;1173;4700;2726;493;18;46;7;71
126424;Status;7854;25584;14920;3300;36;98;14;148
126424;Photo;862;2545;1529;372;0;25;5;30
126424;Video;2356;107502;38720;1008;23;204;44;271
126345;Photo;19779;5901;2894;583;11;202;5;218
126345;Photo;4906;48765;25024;1353;7;148;39;194
126345;Photo;897;3399;2162;375;1;40;8;49
126345;Photo;1147;3559;2126;477;1;71;17;89
126345;Status;3599;17717;10400;2119;0;104;13;117
126141;Photo;2801;15917;8972;1035;1;34;4;39
126141;Photo;2438;41207;23440;1225;11;129;12;152
126141;Status;1692;11970;6796;774;4;72;18;94
126141;Photo;7980;3963;2301;342;0;15;3;18
126141;Photo;1126;5648;3856;460;14;102;9;125
126141;Photo;2048;19738;13656;998;103;469;33;605
125612;Photo;286;3147;1794;137;5;57;5;67
125612;Photo;735;2888;1406;340;0;23;2;25
125612;Photo;1021;4569;2782;459;5;141;26;172
125612;Photo;781;3802;2144;348;0;19;5;24
125612;Photo;852;4111;2236;375;1;71;23;95
125612;Photo;913;3351;2110;436;0;72;21;93
125612;Photo;2042;20024;10568;920;5;54;7;66
125612;Photo;920;5063;3114;501;5;93;19;117
125612;Photo;650;3519;2124;375;0;62;10;72
125612;Photo;775;3708;2392;403;0;78;16;94
124940;Photo;1388;13786;7736;662;0;14;1;15
124940;Photo;1229;7431;4292;646;11;231;43;285
124940;Photo;622;3579;1966;348;1;72;16;89
124940;Photo;1871;32470;16480;760;9;197;28;234
124940;Photo;940;8419;5840;594;4;330;29;363
124940;Photo;1034;2289;1408;340;0;148;7;155
124940;Photo;1014;6086;3494;569;2;208;28;238
124940;Photo;969;6253;3742;445;12;148;28;188
124940;Photo;1000;5651;3144;506;4;154;26;184
124940;Photo;1408;9376;6864;546;3;142;18;163
124940;Photo;1072;4343;2590;482;8;107;20;135
124940;Photo;948;7037;3768;397;0;22;3;25
124940;Photo;870;4229;2672;403;2;84;13;99
124940;Photo;740;3574;2184;349;2;59;12;73
124940;Photo;995;5416;3312;423;3;65;14;82
124940;Photo;2824;18580;10144;876;0;24;4;28
124940;Photo;2051;22710;13344;697;9;186;23;218
123047;Photo;937;3476;2174;347;0;58;17;75
123047;Photo;863;3484;1968;328;2;74;14;90
123047;Photo;930;7048;4012;408;2;180;44;226
123047;Photo;1874;14792;7800;732;18;168;49;235
123047;Photo;1082;7326;4120;408;0;36;5;41
123047;Photo;770;4491;2620;327;2;51;6;59
123047;Photo;677;4930;2660;319;2;67;14;83
123047;Photo;1850;78678;37408;1831;20;1372;47;1439
123047;Photo;599;4658;2710;305;2;57;6;65
121540;Photo;892;4605;2540;342;2;33;10;45
121540;Photo;880;4955;2772;361;1;79;17;97
120050;Photo;719;4846;2614;371;3;97;22;122
120050;Photo;2123;32021;19712;1101;16;617;58;691
120050;Photo;848;4935;2644;432;7;139;34;180
120050;Photo;1438;11280;6664;536;20;199;32;251
119198;Photo;872;4911;2528;367;1;107;26;134
119198;Photo;663;3601;1992;306;0;50;10;60
119198;Photo;721;4114;2098;341;0;64;20;84
119198;Status;2755;15382;8980;1613;2;55;10;67
119198;Photo;889;4664;2690;390;1;142;37;180
119198;Photo;604;3353;1943;305;2;72;9;83
119198;Photo;672;3382;1853;323;4;79;16;99
119198;Photo;1197;6279;3612;505;25;244;44;313
117764;Photo;1389;26514;14728;701;25;307;58;390
117764;Photo;966;5904;3322;488;6;212;36;254
117764;Photo;583;4249;2352;322;2;95;17;114
117764;Photo;1157;7910;4136;512;5;194;33;232
117764;Photo;676;5493;3106;340;6;101;29;136
117764;Link;396;16914;11008;289;3;46;14;63
117764;Photo;767;5681;3216;469;3;156;20;179
117764;Photo;3000;57722;34368;1978;37;821;90;948
117764;Photo;507;3586;2148;271;1;58;13;72
117764;Photo;847;5156;2752;403;12;155;23;190
117764;Photo;2718;52477;27392;1756;45;1639;122;1806
116435;Photo;1049;6890;3714;475;3;155;32;190
116435;Photo;847;6549;3716;476;4;166;33;203
116435;Status;2838;37816;21352;1578;6;210;39;255
116435;Photo;1021;15973;10584;676;4;400;25;429
116435;Photo;713;4908;2754;398;2;98;18;118
116435;Photo;869;5768;2812;411;12;138;38;188
116435;Photo;730;6173;3298;428;3;148;16;167
116091;Photo;833;7055;4046;487;2;267;40;309
116091;Photo;878;6461;3708;414;1;144;29;174
116091;Photo;1116;8188;4776;570;25;256;54;335
116091;Photo;886;7886;4454;429;3;72;24;99
116091;Photo;552;4347;2330;341;0;87;18;105
116091;Status;1967;12996;7200;843;1;129;36;166
115893;Photo;1005;6258;3608;597;1;179;30;210
115893;Photo;3153;48466;21928;1392;9;194;33;236
115368;Photo;771;4632;2530;497;1;124;32;157
115368;Photo;1165;8391;4692;737;4;304;47;355
115368;Photo;1048;5732;3256;555;12;138;39;189
115368;Photo;724;13876;10160;484;4;41;9;54
113028;Photo;923;6315;3422;557;2;163;35;200
113028;Photo;1990;47899;24512;1185;45;407;76;528
113028;Status;6591;21009;11408;2256;17;447;123;587
113028;Link;477;9105;5472;156;7;38;11;56
113028;Photo;1897;11853;7024;758;2;93;26;121
113028;Photo;889;9389;5232;556;0;59;16;75
111620;Photo;864;15678;10968;705;0;286;30;316
111620;Photo;678;8242;5352;456;0;66;13;79
111620;Photo;1274;8452;5024;670;8;236;51;295
111620;Photo;1746;22130;14224;814;2;152;11;165
111620;Photo;3391;48575;27328;1936;51;1998;128;2177
111620;Photo;2506;84046;32384;985;8;186;18;212
109670;Photo;1254;6896;3998;683;11;235;34;280
109670;Photo;906;7692;4234;508;1;64;22;87
109670;Photo;788;5685;3230;469;2;92;28;122
109670;Photo;943;7956;4696;492;3;53;13;69
109670;Photo;874;5640;3206;471;5;140;38;183
109670;Photo;768;8149;4864;389;0;48;8;56
109670;Photo;1078;6733;3992;514;0;112;14;126
109670;Photo;658;7072;4732;382;0;35;5;40
109670;Photo;842;4954;2604;440;4;37;3;44
109670;Photo;616;3821;2112;385;0;48;14;62
109670;Photo;2123;43980;24720;1568;6;766;109;881
109670;Photo;913;13546;9768;538;1;96;18;115
109670;Photo;597;4747;2686;392;1;57;13;71
107907;Photo;730;5026;2868;461;3;114;21;138
107907;Photo;701;5011;2746;387;1;51;6;58
107907;Photo;633;4010;2162;376;1;87;27;115
107907;Photo;3383;47977;25888;1103;5;81;11;97
107907;Photo;822;4447;2604;462;1;71;18;90
107907;Photo;1028;6661;3864;505;9;164;52;225
107907;Photo;645;4441;2512;395;5;91;26;122
107907;Photo;1697;32842;16960;762;9;329;38;376
107907;Photo;957;22022;16096;519;4;128;17;149
107907;Link;1267;42338;27232;788;1;379;40;420
107907;Photo;569;4440;2664;316;1;52;24;77
107907;Photo;602;4607;2862;347;1;63;26;90
107907;Photo;632;5040;3114;344;2;97;25;124
106928;Photo;544;3346;2044;301;2;56;9;67
106928;Link;389;22907;16464;230;1;36;7;44
106928;Photo;979;6021;3606;441;4;138;26;168
106928;Photo;984;6600;3916;463;7;142;24;173
106928;Photo;571;4550;2830;335;1;75;15;91
106928;Photo;857;6032;3794;454;1;89;14;104
104070;Photo;742;4166;2650;391;2;63;16;81
104070;Photo;1448;6956;4418;572;3;176;29;208
104070;Photo;2567;1107833;48368;1513;7;227;15;249
104070;Status;1290;13246;8004;924;3;25;6;34
104070;Photo;31;1483;1062;15;0;0;0;0
102112;Photo;609;5827;3302;361;1;27;11;39
102112;Photo;727;6630;3892;403;0;39;14;53
102112;Photo;934;5914;3198;402;0;61;13;74
102112;Photo;653;5079;2644;357;0;32;7;39
102112;Photo;834;567;236;99;0;2;0;2
102112;Photo;4550;4650;2800;344;8;109;3;120
102112;Photo;8415;10987;5916;628;0;32;6;38
102112;Link;337;9403;5752;259;2;68;15;85
100732;Photo;766;723;380;93;0;6;1;7
100732;Photo;11064;18310;8848;1086;4;213;13;230
100732;Photo;1690;9065;5132;393;0;2;0;2
100732;Photo;1033;6932;3758;140;0;3;0;3
100732;Link;26;3972;2012;19;0;6;0;6
100732;Photo;1420;7451;4088;200;0;4;0;4
100732;Photo;889;721;450;114;0;4;1;5
100732;Photo;8049;16634;8032;865;12;211;14;237
100732;Photo;2895;9348;5388;361;1;15;1;17
100732;Photo;3941;11519;6616;472;11;95;4;110
100732;Photo;9614;13618;7984;705;16;127;0;143
100732;Photo;2106;72846;13184;475;0;136;13;149
98195;Link;97;8964;4830;92;2;32;15;49
98195;Photo;719;6380;3730;363;1;76;9;86
98195;Photo;675;6423;3466;379;1;28;7;36
98195;Photo;9;1614;1008;9;0;0;0;0
98195;Photo;1926;184270;30720;1292;10;664;97;771
96749;Photo;715;8146;3920;363;1;62;10;73
96749;Photo;795;7034;3588;345;0;48;20;68
96749;Photo;926;6937;3478;346;1;55;7;63
96749;Photo;18115;16682;10336;1356;10;197;21;228
96749;Photo;3311;9837;5296;642;6;88;24;118
96749;Photo;2170;9579;4664;413;2;59;6;67
93684;Photo;2737;160270;25424;1146;6;234;26;266
93577;Photo;2654;14636;7632;656;3;148;21;172
93470;Photo;1652;9122;4716;497;0;96;29;125
93363;Photo;1526;9103;4764;483;4;49;15;68
93256;Photo;1380;8471;4528;446;3;98;27;128
93149;Photo;1834;11276;6260;630;14;198;70;282
93042;Photo;1422;9670;5640;465;5;159;53;217
92935;Photo;1192;5249;2694;398;1;22;6;29
92828;Photo;3400;9183;4560;621;6;154;18;178
92721;Photo;1612;9781;5348;606;5;128;32;165
92614;Photo;1326;6285;3578;441;2;129;32;163
92507;Photo;6624;648611;47488;3430;146;1546;181;1873
92400;Photo;1878;8536;4884;706;5;79;11;95
92293;Photo;2022;11744;6964;742;19;214;78;311
92186;Photo;2493;8907;5696;593;8;134;34;176
92079;Photo;3412;81938;20608;1034;9;268;36;313
91972;Photo;1441;7316;4280;583;4;128;38;170
91865;Photo;1116;5362;3370;447;3;47;21;71
91758;Photo;1410;47976;13560;677;1;200;37;238
91651;Photo;2110;28247;13312;1052;5;264;36;305
91544;Photo;1725;11885;6672;729;10;193;61;264
91437;Link;505;13919;8460;392;4;114;13;131
91330;Photo;1336;8753;4880;570;7;160;57;224
91223;Photo;1020;7420;4232;466;0;46;15;61
91116;Photo;1226;8294;4736;576;4;136;42;182
91009;Photo;1837;6338;3672;497;0;73;13;86
86909;Photo;1452;6101;3546;420;0;65;19;84
86909;Photo;3183;66311;34352;2021;7;579;47;633
86909;Link;581;12522;8176;167;1;101;5;107
86909;Photo;1461;5225;3098;483;1;74;31;106
86909;Photo;1427;6823;3788;487;7;84;36;127
86909;Photo;2741;8774;5124;722;56;360;99;515
86491;Link;70;6625;3804;59;0;5;2;7
86491;Photo;3645;17809;11328;801;3;187;36;226
86491;Photo;1399;5732;3412;453;2;69;26;97
86491;Photo;1348;5485;3068;437;2;82;24;108
86491;Link;71;7041;3996;58;0;12;2;14
85979;Photo;1243;5340;3094;440;2;56;25;83
85979;Photo;1153;4642;2842;393;1;44;21;66
85979;Photo;2007;8872;4876;660;21;277;80;378
85979;Photo;1278;4932;2820;432;1;74;28;103
85979;Photo;1237;5757;3300;431;1;79;30;110
85979;Photo;1140;6085;3502;437;1;105;46;152
85979;Link;763;15766;10720;220;0;128;9;137
85093;Photo;1632;8632;5348;699;17;185;55;257
85093;Photo;1003;5654;3230;422;10;125;41;176
85093;Photo;985;4750;2876;392;5;53;26;84
81370;Photo;687;3961;2104;301;0;53;22;75
81370;Photo;795;4742;2388;363;4;93;18;115
81370;Photo;832;4534;2452;370;7;91;38;136
81370;Photo;743;3861;2200;316;0;91;28;119
